z,abs_crossline,gt_frac_3,gt_frac_4,gt_frac_5,gt_frac_6,pred_frac_3,pred_frac_4,pred_frac_5,pred_frac_6
20,829,0.05154907,0.04215958,0.13120009,0.19392742,0.06258104,0.05554226,0.15143868,0.11132058
21,830,0.05149587,0.04222608,0.13070468,0.19392077,0.06254115,0.05533944,0.15115606,0.11092492
22,831,0.05138615,0.04264501,0.12990005,0.19385760,0.06257772,0.05396958,0.15291160,0.11085509
23,832,0.05121325,0.04306728,0.12904556,0.19383433,0.06250790,0.05221072,0.15566461,0.11017682
24,833,0.05135955,0.04371230,0.12792840,0.19385428,0.06036334,0.05675917,0.15116604,0.11140703
25,834,0.05135622,0.04563741,0.12557437,0.19382768,0.06081553,0.05941243,0.14783450,0.11109781
26,835,0.05124650,0.04667145,0.12422447,0.19385760,0.06113804,0.05905666,0.14742554,0.11122748
27,836,0.05133295,0.04627247,0.12414135,0.19412692,0.06119124,0.05785638,0.14758846,0.11202878
28,837,0.05138615,0.04569394,0.12435414,0.19405709,0.06108152,0.05708168,0.14777133,0.11228812
29,838,0.05144932,0.04475964,0.12493267,0.19417014,0.06125774,0.05664279,0.14764166,0.11236459
30,839,0.05143269,0.04461002,0.12479303,0.19429649,0.06121452,0.05526629,0.14911458,0.11246767
31,840,0.05130967,0.04426756,0.12481298,0.19436631,0.06110479,0.05422893,0.15090337,0.11186254
32,841,0.05125980,0.04390515,0.12479968,0.19451260,0.06011730,0.05694536,0.15050106,0.11472194
33,842,0.05124318,0.04246547,0.12595009,0.19465890,0.06016718,0.06108817,0.14736569,0.11330886
34,843,0.05101376,0.04174397,0.12639562,0.19478857,0.06026360,0.06091195,0.14699663,0.11317254
35,844,0.05093396,0.04121864,0.12664499,0.19480187,0.06026692,0.05936255,0.14748871,0.11409354
36,845,0.05088409,0.04047054,0.12713707,0.19489497,0.06021705,0.05879067,0.14777465,0.11449917
37,846,0.05098051,0.04010813,0.12706392,0.19495481,0.06027357,0.05882725,0.14726262,0.11462884
38,847,0.05082091,0.04013472,0.12670484,0.19502796,0.06027690,0.05765688,0.14809717,0.11513423
39,848,0.05062807,0.04016465,0.12633245,0.19502464,0.06038329,0.05711160,0.14971639,0.11413676
40,849,0.05073779,0.03999840,0.12603321,0.19590241,0.05871420,0.05218412,0.14542396,0.11252751
41,850,0.05095059,0.03995518,0.12561095,0.19603208,0.05809909,0.05610749,0.14172003,0.11115766
42,851,0.05096721,0.03984878,0.12521861,0.19659066,0.05793618,0.05581157,0.14173998,0.11124411
43,852,0.05119995,0.03969251,0.12484622,0.19565969,0.05788298,0.05386984,0.14241161,0.11247099
44,853,0.05121990,0.03957282,0.12445056,0.19594231,0.05784973,0.05355065,0.14207912,0.11250756
45,854,0.05175188,0.03898099,0.12406820,0.19622492,0.05800267,0.05368697,0.14160698,0.11217508
46,855,0.05203117,0.03895106,0.12363596,0.19684668,0.05820882,0.05238694,0.14266430,0.11204208
47,856,0.05224064,0.03896104,0.12309733,0.19655076,0.05790293,0.05118998,0.14440654,0.11085509
48,857,0.05214422,0.03904416,0.12278479,0.19670703,0.05796610,0.05724792,0.13311855,0.10590766
49,858,0.05207440,0.03912063,0.12245895,0.19704284,0.05818887,0.06099507,0.13049188,0.10551532
50,859,0.05207440,0.03908406,0.12216304,0.19732214,0.05856458,0.06057281,0.13069138,0.10556852
51,860,0.05147259,0.03934673,0.12180728,0.19764465,0.05889707,0.05850473,0.13148935,0.10673556
52,861,0.05139945,0.03947307,0.12143489,0.19785079,0.05916971,0.05784640,0.13204128,0.10676881
53,862,0.05136287,0.03948637,0.12115227,0.19770782,0.05956205,0.05770676,0.13192491,0.10659259
54,863,0.05118665,0.03953292,0.12095610,0.19816333,0.06005413,0.05640008,0.13327814,0.10642967
55,864,0.05118665,0.03927690,0.12070009,0.19834288,0.06026027,0.05523969,0.13506028,0.10561507
56,865,0.05132962,0.03890119,0.12060034,0.19818993,0.06248795,0.06381125,0.12936142,0.10060779
57,866,0.05166876,0.03825616,0.12063359,0.19851245,0.06276059,0.06660748,0.12769233,0.09997939
58,867,0.05153909,0.03813979,0.12074664,0.19807023,0.06313630,0.06614532,0.12796829,0.10026865
59,868,0.05156569,0.03789042,0.12063692,0.19818661,0.06351866,0.06434988,0.12895579,0.10098683
60,869,0.05158564,0.03776408,0.12053052,0.19834620,0.06381790,0.06402072,0.12920183,0.10079731
61,870,0.05142937,0.03751804,0.12055712,0.19845260,0.06401740,0.06381125,0.12938802,0.10037837
62,871,0.05083089,0.03704923,0.12082311,0.19856232,0.06421689,0.06202246,0.13089752,0.10040497
63,872,0.05094726,0.03709910,0.12058704,0.19869531,0.06419029,0.06123779,0.13227070,0.09953385
64,873,0.05088076,0.03701265,0.12062362,0.19900453,0.06444631,0.06377800,0.12293109,0.09258151
65,874,0.05081094,0.03705920,0.12037757,0.19900453,0.06543047,0.06638804,0.12051389,0.09242524
66,875,0.05064470,0.03694948,0.12047732,0.19894801,0.06585606,0.06611873,0.12043742,0.09281758
67,876,0.05089406,0.03705920,0.12019471,0.19903113,0.06604890,0.06434323,0.12091621,0.09411761
68,877,0.05083089,0.03714565,0.12006503,0.19913087,0.06634482,0.06390435,0.12103258,0.09426390
69,878,0.05078434,0.03721215,0.12025788,0.19892141,0.06665071,0.06377468,0.12103258,0.09412426
70,879,0.05079432,0.03727532,0.12048730,0.19859889,0.06704969,0.06245137,0.12207992,0.09452657
71,880,0.05078102,0.03726867,0.12055712,0.19843265,0.06661746,0.06132091,0.12347305,0.09397464
72,881,0.05078767,0.03725205,0.12008831,0.19873189,0.06483864,0.05851803,0.11810003,0.10032517
73,882,0.05078434,0.03720550,0.11984227,0.19890478,0.06468902,0.06211556,0.11688312,0.10012236
74,883,0.05058152,0.03709910,0.11961285,0.19913752,0.06510131,0.06211556,0.11692302,0.10000598
75,884,0.05072782,0.03682314,0.11939341,0.19934699,0.06544710,0.06045312,0.11717238,0.10131267
76,885,0.05079764,0.03681981,0.11909084,0.19953319,0.06536730,0.06024032,0.11700281,0.10150218
77,886,0.05081427,0.03677991,0.11872843,0.19968946,0.06542715,0.06011398,0.11661048,0.10095025
78,887,0.05082091,0.03688631,0.11829952,0.19970608,0.06543380,0.05907661,0.11758799,0.10040165
79,888,0.05076107,0.03700933,0.11788723,0.19972270,0.06468570,0.05890704,0.11907089,0.09846656
80,889,0.05067794,0.03723542,0.11733198,0.19982910,0.05858120,0.06138408,0.11897447,0.10241653
81,890,0.05082424,0.03767763,0.11660715,0.20011837,0.05840831,0.06349539,0.11767777,0.10301501
82,891,0.05088741,0.03824951,0.11558974,0.20042093,0.05830191,0.06261429,0.11788391,0.10367001
83,892,0.05077104,0.03818966,0.11511760,0.20078667,0.05827864,0.06101170,0.11824632,0.10459101
84,893,0.05077769,0.03831601,0.11453907,0.20102606,0.05826534,0.06053956,0.11840259,0.10474728
85,894,0.05093064,0.03851883,0.11429303,0.20087312,0.05815562,0.06032012,0.11866526,0.10438819
86,895,0.05103703,0.03860528,0.11396719,0.20082989,0.05862110,0.05911651,0.11998856,0.10420199
87,896,0.05105033,0.03886462,0.11340528,0.20075342,0.05846151,0.05834514,0.12156788,0.10353037
88,897,0.05127310,0.03924698,0.11255411,0.20129205,0.05489723,0.06579954,0.12669154,0.09595295
89,898,0.05113013,0.03974904,0.11168299,0.20123553,0.05479083,0.06630492,0.12611301,0.09664452
90,899,0.05083089,0.04017130,0.11126738,0.20154142,0.05500362,0.06541717,0.12658514,0.09733277
91,900,0.05077769,0.04057693,0.11130063,0.20145497,0.05511002,0.06378133,0.12745294,0.09835684
92,901,0.05080762,0.04087285,0.10954509,0.20290130,0.05526962,0.06320945,0.12764910,0.09862283
93,902,0.05076107,0.04109562,0.10895658,0.20334683,0.05528624,0.06319615,0.12736981,0.09852973
94,903,0.05077104,0.04129844,0.10829826,0.20371589,0.05513994,0.06236825,0.12800819,0.09859956
95,904,0.05094726,0.04146468,0.10772305,0.20407831,0.05438519,0.06191274,0.12911538,0.09803765
96,905,0.05089406,0.04171737,0.10716779,0.20459034,0.05314501,0.06839960,0.12932152,0.09246181
97,906,0.05108358,0.04180049,0.10653274,0.20501925,0.05283912,0.06903133,0.12881614,0.09281093
98,907,0.05121990,0.04181047,0.10602403,0.20539496,0.05302864,0.06840957,0.12877292,0.09323984
99,908,0.05120660,0.04209641,0.10514294,0.20588705,0.05309181,0.06733231,0.12930822,0.09376517
100,909,0.05105033,0.04248210,0.10436159,0.20619626,0.05316164,0.06708959,0.12911871,0.09379842
101,910,0.04982677,0.04269821,0.10372653,0.20652210,0.05328133,0.06697987,0.12877957,0.09354905
102,911,0.04977358,0.04305730,0.10295849,0.20658860,0.05328798,0.06603560,0.12920183,0.09362220
103,912,0.04986667,0.04348954,0.10215386,0.20670497,0.05288567,0.06516781,0.13006962,0.09329304
104,913,0.04963060,0.04311050,0.10128607,0.20702083,0.05237364,0.07154827,0.13049188,0.09286745
105,914,0.04965720,0.04277469,0.10110652,0.20679142,0.05210765,0.07316749,0.12933150,0.09344598
106,915,0.04930144,0.04307393,0.09938091,0.20451719,0.05233041,0.07296467,0.12930822,0.09334956
107,916,0.04937791,0.04377548,0.09824712,0.20201688,0.05249666,0.07189073,0.12932817,0.09429050
108,917,0.04962396,0.04373225,0.09765861,0.20175421,0.05269948,0.07178433,0.12921513,0.09415418
109,918,0.04973035,0.04376550,0.09730618,0.20219310,0.05283247,0.07183088,0.12905221,0.09354905
110,919,0.04956078,0.04423431,0.09651818,0.20260871,0.05292889,0.07087664,0.12958419,0.09356900
111,920,0.04992652,0.04430413,0.09598620,0.20384224,0.05294219,0.07008532,0.13057833,0.09331631
112,921,0.04981347,0.04413456,0.09567698,0.20346985,0.05155904,0.07485653,0.13185841,0.09199633
113,922,0.04962063,0.04435733,0.09503528,0.20384557,0.05144267,0.07580412,0.13135635,0.09310352
114,923,0.04942446,0.04477959,0.09433373,0.20418803,0.05147924,0.07545169,0.13095737,0.09387489
115,924,0.04898225,0.04449033,0.09431378,0.20438420,0.05165214,0.07452404,0.13097067,0.09481583
116,925,0.04874951,0.04437728,0.09413091,0.20665510,0.05181506,0.07463376,0.13079445,0.09504525
117,926,0.04880603,0.04441386,0.09379842,0.20620624,0.05191480,0.07509592,0.13098729,0.09415418
118,927,0.04854669,0.04453688,0.09337948,0.20569420,0.05213757,0.07474016,0.13186506,0.09365212
119,928,0.04818095,0.04567731,0.09208943,0.20600674,0.05208105,0.07474348,0.13287583,0.09265133
120,929,0.04832060,0.04590673,0.09157739,0.20644230,0.05139945,0.07941495,0.13563881,0.09145770
121,930,0.04824413,0.04630239,0.09076945,0.20685459,0.05105366,0.08044234,0.13386997,0.09333293
122,931,0.04836382,0.04691085,0.08990830,0.20913214,0.05112348,0.07985716,0.13395974,0.09408768
123,932,0.04854004,0.04733643,0.08921340,0.21009303,0.05127310,0.07844741,0.13418583,0.09545754
124,933,0.04862981,0.04785844,0.08853180,0.21062501,0.05137285,0.07821467,0.13440528,0.09585320
125,934,0.04800806,0.04833057,0.08788677,0.21034905,0.05152912,0.07850061,0.13444185,0.09530459
126,935,0.04766892,0.04845027,0.08737473,0.20949455,0.05060480,0.07759624,0.13828875,0.09270121
127,936,0.04785511,0.04864976,0.08683278,0.20993344,0.05043855,0.07792208,0.13852481,0.09227894
128,937,0.04747608,0.04886588,0.08630412,0.21054854,0.04870629,0.07789548,0.13821892,0.09203955
129,938,0.04724999,0.04943111,0.08537980,0.21152938,0.04871294,0.07696784,0.13818900,0.09272115
130,939,0.04686762,0.04922164,0.08513376,0.21302558,0.04874951,0.07724713,0.13760714,0.09289405
131,940,0.04680445,0.04948763,0.08451533,0.21333812,0.04874286,0.07684149,0.13742428,0.09326976
132,941,0.04673463,0.04962063,0.08392683,0.21453176,0.04879273,0.07626628,0.13729461,0.09344931
133,942,0.04688757,0.04969378,0.08332502,0.21538625,0.04895233,0.07631948,0.13673270,0.09332628
134,943,0.04706712,0.04974365,0.08285954,0.21679268,0.04913187,0.07584070,0.13719818,0.09335953
135,944,0.04773874,0.04993317,0.08234418,0.21954569,0.04883596,0.07608674,0.13787646,0.09282423
136,945,0.04811778,0.05017921,0.08236745,0.22064290,0.04735306,0.07465039,0.13634701,0.09207613
137,946,0.04849349,0.05078102,0.08131346,0.22534762,0.04783849,0.07460051,0.13595800,0.09317666
138,947,0.04759577,0.05239026,0.07968427,0.22966332,0.04820090,0.07427135,0.13579841,0.09433040
139,948,0.04634562,0.05583152,0.07722718,0.23012216,0.04833722,0.07493633,0.13498713,0.09421403
140,949,0.04541132,0.05926281,0.07466369,0.23771288,0.04902548,0.07309767,0.13623397,0.09456647
141,950,0.02879686,0.03848226,0.03935005,0.17427734,0.04911857,0.07258896,0.13805933,0.09284085
